name,position,age,player_id,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
Anthony Miller,WR,29.5,00-0034353,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,-1.0,0,1.0,1.0,0.0,-5.320685210870579,0,52,85,656.0,2,0.0,0.0,865.0,217.0,34.0,20.28329281742603,0,13.282291451352755,2.20700782602398,2.749167356998686,5.23492888893505,0.0,75.5,127.5,16,0.14655172413793102,0.19061260467166152,0.14109232769830948,0.37231766994422577,0.18359921634480827,0.1,0.19101123595505617,0.18181818181818182,0.14179960817240414,0.1668793730758466,1.1310344827586207,0.10273807029701375
Anthony Sherman,RB,33.2,00-0028074,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,9.0,0,0.0,0.0,3.0,3.0408360142610036,0,2,3,22.0,0,0.0,0.0,10.0,23.0,2.0,-1.049380732991267,0,-1.4166666666666665,0.09347582876994642,0.0174825825511474,0.1524515509407228,0.0,3.1,5.1000000000000005,4,0.022727272727272728,0.00931098696461825,0.03826955074875208,0.04153969866260369,0.020618556701030927,0.0,0.047619047619047616,0.04081632653061224,0.010309278350515464,0.016494845360824743,0.16666666666666666,0.014330673260649658
Antonio Brown,WR,35.6,00-0027793,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,5.0,0,0.0,0.0,1.0,0.36675744561944157,0,4,8,56.0,1,0.0,0.0,92.0,7.0,3.0,2.0536659490748033,0,0.6086956521739131,0.2857142857142857,0.3484848484848485,0.6725108225108225,0.0,12.100000000000001,16.1,1,0.2857142857142857,0.3484848484848485,0.07692307692307693,0.7073593073593074,0.21212121212121213,0.5,0.23076923076923078,0.26666666666666666,0.3560606060606061,0.2696969696969697,2.0,0.16203703703703703
Antonio Callaway,WR,27.1,00-0034772,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,15,89.0,0,0.0,0.0,153.0,44.0,3.0,-7.247807372799557,0,2.897150997150997,0.4724747474747475,0.6429033717492051,1.1587444814365648,0.0,8.9,16.900000000000002,4,0.11194029850746269,0.14796905222437137,0.10328638497652583,0.2862856895406911,0.10645933014354067,0.0,0.075,0.06976744186046512,0.053229665071770335,0.08516746411483254,0.664179104477612,0.060826374892024186
Antony Auclair,TE,29.7,00-0033421,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,3,11.0,0,0.0,0.0,2.0,8.0,1.0,-0.518453404889442,0,0.0,0.07428940568475452,0.0041435428228588575,0.11433458850313297,0.0,1.1,2.1,2,0.037037037037037035,0.002173913043478261,0.041666666666666664,0.057294685990338164,0.015384615384615385,0.0,0.02857142857142857,0.025,0.007692307692307693,0.01230769230769231,0.13580246913580246,0.008959044368600682
Ashton Dulin,WR,26.9,00-0035021,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,17.0,0,0.0,0.0,-6.0,23.0,0.0,-0.42156618367880583,0,0.0,0.05733005733005733,-0.01897601145721446,0.07271187797503587,0.0,1.7000000000000002,3.6999999999999997,2,0.02702702702702703,-0.009022556390977444,0.10599078341013825,0.033322495427758586,0.03512396694214876,0.0,0.0,0.0,0.01756198347107438,0.02809917355371901,0.22972972972972974,0.026511894525652047
Auden Tate,WR,27.0,00-0034686,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,40,80,575.0,1,1.0,1.0,933.0,134.0,29.0,8.870076993078241,0,7.512419647503954,2.220541351986585,3.2822467555246324,5.628384756847121,0.0,61.5,101.5,12,0.17777777777777778,0.2618579848442324,0.1031562740569669,0.4761530545420526,0.20253610426206411,0.1,0.22137404580152673,0.2127659574468085,0.15126805213103206,0.1820288834096513,1.2777777777777777,0.11767297347430902
Austin Carr,WR,28.2,00-0033382,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,4,9.0,0,0.0,0.0,41.0,4.0,1.0,-1.2282090739070068,0,0.5294117647058824,0.1020671834625323,0.16345029239766082,0.267515979872161,0.0,0.9,1.9,2,0.04938271604938271,0.07976653696498054,0.01092896174863388,0.1378873036460585,0.013761467889908258,0.0,0.029411764705882353,0.02564102564102564,0.006880733944954129,0.011009174311926606,0.1111111111111111,0.007807363576594345
Austin Ekeler,RB,28.9,00-0033699,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,132,557.0,3,1.0,1.0,32.0,-10.297903755858263,0,92,108,993.0,8,2.0,0.0,136.0,940.0,42.0,41.4780520874219,0,5.8385520782966625,2.901108027202036,0.352215905853906,4.598213174900788,0.0,219.0,311.0,16,0.18090452261306533,0.02677692459145501,0.4325816843074091,0.292778323592762,0.21364027538726335,0.3333333333333333,0.19090909090909092,0.20491803278688525,0.2734868043602983,0.23757888697647733,1.6633165829145728,0.21359596708836417
Austin Hooper,TE,29.4,00-0032392,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,75,97,787.0,6,0.0,0.0,629.0,335.0,41.0,25.492557561098973,1,17.674447123094318,2.4063148289312735,1.8950270694977176,4.935991192045313,0.0,116.70000000000002,191.70000000000002,13,0.1773308957952468,0.14403480650332035,0.20514390691977955,0.38122418889552645,0.19209177446912376,0.24,0.1943127962085308,0.19915254237288135,0.21604588723456186,0.201673419575299,1.4387568555758683,0.1430938731637406
Baker Mayfield,QB,29.0,00-0034855,2019,317,534,3827.0,22,21.0,40.0,285.0,4,2,4521.0,1820.0,179.0,-9.822586193941511,1,14.294813547210282,1.1537994125908158,28,141.0,3,2.0,0.0,15.0,10.774565149855334,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,229.18,229.18,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17539106743808736
Ben Braunecker,TE,27.2,00-0032661,2019,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,11,59.0,1,0.0,0.0,111.0,25.0,5.0,2.1681305954116397,0,2.5694464517993927,0.3188170142570991,0.3912067963356486,0.7520702788206027,0.0,11.9,17.900000000000002,4,0.07971014492753623,0.09668989547038327,0.07122507122507123,0.19691713376761094,0.07662337662337662,0.2,0.13157894736842105,0.13953488372093023,0.13831168831168833,0.1012987012987013,0.427536231884058,0.06322854115153656
